,workerid,rt,statements,weight,pronoun,question,profession,expectedPronoun,correctResponse,response,slide_number_in_experiment,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid.1,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
13,0,11491,"[u'The art historian gets many invitations to speak at college campuses.', u' only accepts a few in the New England area.']",5.33,She,Does the art historian ever speak outside of the New England area?,art historian,neutral,No,"[7153, 704, 3336, 2432, u'No']",16,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
8,0,8631,"[u'The astrologer got a sweepstakes entry in the mail.', u' decided to fill it out and mail it in.']",5.8,She,Did the astrologer receive a package in the mail?,astrologer,neutral,No,"[7497, 880, 2848, 1816, u'No']",11,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
12,0,9860,"[u'The baby sitter found out about the practical joke.', u' remained calm for several minutes, but then started to yell at everyone.']",9.33,She,Did the baby sitter react poorly to the practical joke?,baby sitter,She,Yes,"[5504, 583, 2343, 3593, u'Yes']",15,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
11,0,10430,"[u'The bank clerk had worked in that town for over thirty years.', u' knew just about everyone who lived there.']",6.57,He,Did the bank clerk know just about everyone in the town?,bank clerk,neutral,Yes,"[4648, 736, 4176, 2128, u'Yes']",14,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
20,0,7415,"[u'The butcher seemed a little distracted.', u' said that there were several family members who were in the hospital.']",1.77,She,Was the butcher happy?,butcher,He,No,"[5312, 560, 1160, 3040, u'No']",23,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
15,0,11847,"[u'The carpenter walked to the grocery store.', u' didn&quotechart make eye contact with anyone passing by.']",2.47,She,Did the carpenter make eye contact with passersby?,carpenter,He,No,"[9175, 833, 3807, 3249, u'No']",18,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
26,0,6469,"[u'The cheerleader arrived early for the game.', u' was amazed to see how many people were there.']",10.77,She,Did the cheerleader arrive late for the game?,cheerleader,She,No,"[5017, 472, 1312, 2008, u'No']",29,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
9,0,12400,"[u'The cleaner read the instriuctions on the bottle very carefully.', u' then began to mix the cleaning solution.']",9.17,He,Was the cleaner mixing a cleaning solution?,cleaner,She,Yes,"[4839, 688, 5032, 2871, u'Yes']",12,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
29,0,8664,"[u'The dental assistant made several recommendations.', u' stressed the importance of avoiding sugary snacks.']",9.63,He,Did the dental assistant encourage avoiding sugary snacks?,dental assistant,She,Yes,"[5168, 384, 2168, 2279, u'Yes']",32,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
30,0,6855,"[u'The electrician examined the light fixing.', u' needed a special attachment to fix it.']",2.2,He,Was the electrician mending a stereo?,electrician,He,No,"[6160, 384, 1880, 1824, u'No']",33,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
