"","workerid","rt","statements","weight","pronoun","question","profession","correctResponse","response","slide_number_in_experiment","language","enjoyment","gender","age","problems","comments","asses","fairprice","education","OS","screenH","screenW","Browser","hitid","hittypeid","title","description","keywords","reward","creationtime","assignments","numavailable","numpending","numcomplete","hitstatus","reviewstatus","annotation","assignmentduration","autoapprovaldelay","hitlifetime","viewhit","assignmentid","workerid.1","assignmentstatus","autoapprovaltime","assignmentaccepttime","assignmentsubmittime","assignmentapprovaltime","assignmentrejecttime","deadline","feedback","reject","Answer.condition","Answer.time_in_minutes","Answer.catch_trials"
"1",0,12165,"[u'The novelist went to a coffee shop to write.', u' procrastinated for an hour before writing half a chapter.']",NA,"He","Did the novelist complete a whole chapter?","novelist","No","[u'No']",3,"English",0,"Male",39,"""Everyday"" is an adjective.","No.","Yes",".50",3,"Windows",1080,1920,"Chrome","3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","3QY2P19FFHX9BG7GXSZS9WCOSF7NX3","Language study","Answer questions about different professions. Quick and fun.","language research stanford fun cognitive science university experiment","$0.40","Fri May 12 08:47:36 PDT 2017",9,0,0,9,"Reviewable","NotReviewed","1 cond",1800,300,"Sun May 14 08:47:36 PDT 2017","https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","34PGFRQONOAH0J0G5ZBZIAKX859WJR",0,"Approved","Fri May 12 08:59:54 PDT 2017","Fri May 12 08:48:06 PDT 2017","Fri May 12 08:54:54 PDT 2017","Fri May 12 09:00:16 PDT 2017",NA,NA,NA,NA,"undefined",6.76781666666667,"[]"
"2",0,14966,"[u'The news anchor delivered the homicide report.', u' felt perturbed by the tragic nature of the news she was reading.']",NA,"She","Did the news anchor feel disturbed by the homicide report?","news anchor","yes","[u'Yes']",4,"English",0,"Male",39,"""Everyday"" is an adjective.","No.","Yes",".50",3,"Windows",1080,1920,"Chrome","3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","3QY2P19FFHX9BG7GXSZS9WCOSF7NX3","Language study","Answer questions about different professions. Quick and fun.","language research stanford fun cognitive science university experiment","$0.40","Fri May 12 08:47:36 PDT 2017",9,0,0,9,"Reviewable","NotReviewed","1 cond",1800,300,"Sun May 14 08:47:36 PDT 2017","https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","34PGFRQONOAH0J0G5ZBZIAKX859WJR",0,"Approved","Fri May 12 08:59:54 PDT 2017","Fri May 12 08:48:06 PDT 2017","Fri May 12 08:54:54 PDT 2017","Fri May 12 09:00:16 PDT 2017",NA,NA,NA,NA,"undefined",6.76781666666667,"[]"
"3",0,9095,"[u'The opera singer belted a high C.', u' was heartened when the audience rose to their feet.']",NA,"She","Did the opera singer belt a high F?","opera singer","No","[u'No']",5,"English",0,"Male",39,"""Everyday"" is an adjective.","No.","Yes",".50",3,"Windows",1080,1920,"Chrome","3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","3QY2P19FFHX9BG7GXSZS9WCOSF7NX3","Language study","Answer questions about different professions. Quick and fun.","language research stanford fun cognitive science university experiment","$0.40","Fri May 12 08:47:36 PDT 2017",9,0,0,9,"Reviewable","NotReviewed","1 cond",1800,300,"Sun May 14 08:47:36 PDT 2017","https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","34PGFRQONOAH0J0G5ZBZIAKX859WJR",0,"Approved","Fri May 12 08:59:54 PDT 2017","Fri May 12 08:48:06 PDT 2017","Fri May 12 08:54:54 PDT 2017","Fri May 12 09:00:16 PDT 2017",NA,NA,NA,NA,"undefined",6.76781666666667,"[]"
"4",0,8613,"[u'The interpreter checked the documents carefully for typos.', u' signed them and put them in the outgoing mail.']",6.53,"She","Did the interpreter put the documents in the trash?","interpreter","No","[12960, 583, 2632, 2319, u'No']",7,"English",0,"Male",39,"""Everyday"" is an adjective.","No.","Yes",".50",3,"Windows",1080,1920,"Chrome","3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","3QY2P19FFHX9BG7GXSZS9WCOSF7NX3","Language study","Answer questions about different professions. Quick and fun.","language research stanford fun cognitive science university experiment","$0.40","Fri May 12 08:47:36 PDT 2017",9,0,0,9,"Reviewable","NotReviewed","1 cond",1800,300,"Sun May 14 08:47:36 PDT 2017","https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","34PGFRQONOAH0J0G5ZBZIAKX859WJR",0,"Approved","Fri May 12 08:59:54 PDT 2017","Fri May 12 08:48:06 PDT 2017","Fri May 12 08:54:54 PDT 2017","Fri May 12 09:00:16 PDT 2017",NA,NA,NA,NA,"undefined",6.76781666666667,"[]"
"5",0,7359,"[u'The undertaker went outside to smoke.', u' finished smoking two cigarettes before returning inside.']",1.97,"He","Did the undertaker smoke three cigarettes?","undertaker","No","[5375, 567, 1671, 2368, u'No']",8,"English",0,"Male",39,"""Everyday"" is an adjective.","No.","Yes",".50",3,"Windows",1080,1920,"Chrome","3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","3QY2P19FFHX9BG7GXSZS9WCOSF7NX3","Language study","Answer questions about different professions. Quick and fun.","language research stanford fun cognitive science university experiment","$0.40","Fri May 12 08:47:36 PDT 2017",9,0,0,9,"Reviewable","NotReviewed","1 cond",1800,300,"Sun May 14 08:47:36 PDT 2017","https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","34PGFRQONOAH0J0G5ZBZIAKX859WJR",0,"Approved","Fri May 12 08:59:54 PDT 2017","Fri May 12 08:48:06 PDT 2017","Fri May 12 08:54:54 PDT 2017","Fri May 12 09:00:16 PDT 2017",NA,NA,NA,NA,"undefined",6.76781666666667,"[]"
"6",0,8447,"[u'The taxi driver took the twenty dollar bill.', u' immediately thought it might be counterfeit.']",2.5,"She","Was the taxi driver handed a five dollar bill?","taxi driver","No","[5104, 896, 2008, 1808, u'No']",9,"English",0,"Male",39,"""Everyday"" is an adjective.","No.","Yes",".50",3,"Windows",1080,1920,"Chrome","3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","3QY2P19FFHX9BG7GXSZS9WCOSF7NX3","Language study","Answer questions about different professions. Quick and fun.","language research stanford fun cognitive science university experiment","$0.40","Fri May 12 08:47:36 PDT 2017",9,0,0,9,"Reviewable","NotReviewed","1 cond",1800,300,"Sun May 14 08:47:36 PDT 2017","https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","34PGFRQONOAH0J0G5ZBZIAKX859WJR",0,"Approved","Fri May 12 08:59:54 PDT 2017","Fri May 12 08:48:06 PDT 2017","Fri May 12 08:54:54 PDT 2017","Fri May 12 09:00:16 PDT 2017",NA,NA,NA,NA,"undefined",6.76781666666667,"[]"
"7",0,10000,"[u'The psychologist liked to visit the zoo.', u' found watching the animals to be a perfect way to relax after work.']",5.73,"He","Did the psychologist like to visit the zoo after work?","psychologist","Yes","[5608, 623, 1904, 3369, u'Yes']",10,"English",0,"Male",39,"""Everyday"" is an adjective.","No.","Yes",".50",3,"Windows",1080,1920,"Chrome","3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","3QY2P19FFHX9BG7GXSZS9WCOSF7NX3","Language study","Answer questions about different professions. Quick and fun.","language research stanford fun cognitive science university experiment","$0.40","Fri May 12 08:47:36 PDT 2017",9,0,0,9,"Reviewable","NotReviewed","1 cond",1800,300,"Sun May 14 08:47:36 PDT 2017","https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","34PGFRQONOAH0J0G5ZBZIAKX859WJR",0,"Approved","Fri May 12 08:59:54 PDT 2017","Fri May 12 08:48:06 PDT 2017","Fri May 12 08:54:54 PDT 2017","Fri May 12 09:00:16 PDT 2017",NA,NA,NA,NA,"undefined",6.76781666666667,"[]"
"8",0,8631,"[u'The astrologer got a sweepstakes entry in the mail.', u' decided to fill it out and mail it in.']",5.8,"She","Did the astrologer receive a package in the mail?","astrologer","No","[7497, 880, 2848, 1816, u'No']",11,"English",0,"Male",39,"""Everyday"" is an adjective.","No.","Yes",".50",3,"Windows",1080,1920,"Chrome","3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","3QY2P19FFHX9BG7GXSZS9WCOSF7NX3","Language study","Answer questions about different professions. Quick and fun.","language research stanford fun cognitive science university experiment","$0.40","Fri May 12 08:47:36 PDT 2017",9,0,0,9,"Reviewable","NotReviewed","1 cond",1800,300,"Sun May 14 08:47:36 PDT 2017","https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","34PGFRQONOAH0J0G5ZBZIAKX859WJR",0,"Approved","Fri May 12 08:59:54 PDT 2017","Fri May 12 08:48:06 PDT 2017","Fri May 12 08:54:54 PDT 2017","Fri May 12 09:00:16 PDT 2017",NA,NA,NA,NA,"undefined",6.76781666666667,"[]"
"9",0,12400,"[u'The cleaner read the instriuctions on the bottle very carefully.', u' then began to mix the cleaning solution.']",9.17,"He","Was the cleaner mixing a cleaning solution?","cleaner","Yes","[4839, 688, 5032, 2871, u'Yes']",12,"English",0,"Male",39,"""Everyday"" is an adjective.","No.","Yes",".50",3,"Windows",1080,1920,"Chrome","3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","3QY2P19FFHX9BG7GXSZS9WCOSF7NX3","Language study","Answer questions about different professions. Quick and fun.","language research stanford fun cognitive science university experiment","$0.40","Fri May 12 08:47:36 PDT 2017",9,0,0,9,"Reviewable","NotReviewed","1 cond",1800,300,"Sun May 14 08:47:36 PDT 2017","https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","34PGFRQONOAH0J0G5ZBZIAKX859WJR",0,"Approved","Fri May 12 08:59:54 PDT 2017","Fri May 12 08:48:06 PDT 2017","Fri May 12 08:54:54 PDT 2017","Fri May 12 09:00:16 PDT 2017",NA,NA,NA,NA,"undefined",6.76781666666667,"[]"
"10",0,10832,"[u'The student seemed upset and pale.', u' then asked for a glass of water.']",5.6,"He","Did the student ask for a glass of water?","student","Yes","[9840, 807, 2287, 1471, u'Yes']",13,"English",0,"Male",39,"""Everyday"" is an adjective.","No.","Yes",".50",3,"Windows",1080,1920,"Chrome","3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","3QY2P19FFHX9BG7GXSZS9WCOSF7NX3","Language study","Answer questions about different professions. Quick and fun.","language research stanford fun cognitive science university experiment","$0.40","Fri May 12 08:47:36 PDT 2017",9,0,0,9,"Reviewable","NotReviewed","1 cond",1800,300,"Sun May 14 08:47:36 PDT 2017","https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","34PGFRQONOAH0J0G5ZBZIAKX859WJR",0,"Approved","Fri May 12 08:59:54 PDT 2017","Fri May 12 08:48:06 PDT 2017","Fri May 12 08:54:54 PDT 2017","Fri May 12 09:00:16 PDT 2017",NA,NA,NA,NA,"undefined",6.76781666666667,"[]"
"11",0,10430,"[u'The bank clerk had worked in that town for over thirty years.', u' knew just about everyone who lived there.']",6.57,"He","Did the bank clerk know just about everyone in the town?","bank clerk","Yes","[4648, 736, 4176, 2128, u'Yes']",14,"English",0,"Male",39,"""Everyday"" is an adjective.","No.","Yes",".50",3,"Windows",1080,1920,"Chrome","3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","3QY2P19FFHX9BG7GXSZS9WCOSF7NX3","Language study","Answer questions about different professions. Quick and fun.","language research stanford fun cognitive science university experiment","$0.40","Fri May 12 08:47:36 PDT 2017",9,0,0,9,"Reviewable","NotReviewed","1 cond",1800,300,"Sun May 14 08:47:36 PDT 2017","https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","34PGFRQONOAH0J0G5ZBZIAKX859WJR",0,"Approved","Fri May 12 08:59:54 PDT 2017","Fri May 12 08:48:06 PDT 2017","Fri May 12 08:54:54 PDT 2017","Fri May 12 09:00:16 PDT 2017",NA,NA,NA,NA,"undefined",6.76781666666667,"[]"
"12",0,9860,"[u'The baby sitter found out about the practical joke.', u' remained calm for several minutes, but then started to yell at everyone.']",9.33,"She","Did the baby sitter react poorly to the practical joke?","baby sitter","Yes","[5504, 583, 2343, 3593, u'Yes']",15,"English",0,"Male",39,"""Everyday"" is an adjective.","No.","Yes",".50",3,"Windows",1080,1920,"Chrome","3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","3QY2P19FFHX9BG7GXSZS9WCOSF7NX3","Language study","Answer questions about different professions. Quick and fun.","language research stanford fun cognitive science university experiment","$0.40","Fri May 12 08:47:36 PDT 2017",9,0,0,9,"Reviewable","NotReviewed","1 cond",1800,300,"Sun May 14 08:47:36 PDT 2017","https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ","34PGFRQONOAH0J0G5ZBZIAKX859WJR",0,"Approved","Fri May 12 08:59:54 PDT 2017","Fri May 12 08:48:06 PDT 2017","Fri May 12 08:54:54 PDT 2017","Fri May 12 09:00:16 PDT 2017",NA,NA,NA,NA,"undefined",6.76781666666667,"[]"
